autocoe_actionname,autocoe_desktopflowactionid,autocoe_dlpsupport,importsequencenumber,autocoe_moduledisplayname,autocoe_modulename,autocoe_modulesource,autocoe_selectorid,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit
Run desktop flow,ab58b0ed-e2ce-ec11-a7b5-00224804cf74,true,,Run flow,RunFlow,Microsoft,External.RunFlow,Active,Active,,,4090447,40e6dccd-3039-ec11-b6e5-00224805ed01
On block error,1ffa12ed-e2ce-ec11-a7b5-002248040e15,true,,Flow control,FlowControl,Microsoft,FlowControl.Block,Active,Active,,,4090445,40e6dccd-3039-ec11-b6e5-00224805ed01
Wait,20fa12ed-e2ce-ec11-a7b5-002248040e15,true,,Flow control,FlowControl,Microsoft,FlowControl.Wait,Active,Active,,,4090444,40e6dccd-3039-ec11-b6e5-00224805ed01
Stop flow,aa58b0ed-e2ce-ec11-a7b5-00224804cf74,true,,Flow control,FlowControl,Microsoft,FlowControl.Exit,Active,Active,,,4090443,40e6dccd-3039-ec11-b6e5-00224805ed01
Get last error,a758b0ed-e2ce-ec11-a7b5-00224804cf74,true,,Flow control,FlowControl,Microsoft,FlowControl.GetLastError,Active,Active,,,4090442,40e6dccd-3039-ec11-b6e5-00224805ed01
End,a958b0ed-e2ce-ec11-a7b5-00224804cf74,true,,Flow control,FlowControl,Microsoft,FlowControl.End,Active,Active,,,4090441,40e6dccd-3039-ec11-b6e5-00224805ed01
Comment,a858b0ed-e2ce-ec11-a7b5-00224804cf74,true,,Flow control,FlowControl,Microsoft,FlowControl.Comment,Active,Active,,,4090440,40e6dccd-3039-ec11-b6e5-00224805ed01
Exit subflow,1efa12ed-e2ce-ec11-a7b5-002248040e15,true,,Flow control,FlowControl,Microsoft,FlowControl.ExitFunction,Active,Active,,,4090439,40e6dccd-3039-ec11-b6e5-00224805ed01
Loop condition,1dfa12ed-e2ce-ec11-a7b5-002248040e15,true,,Loops,Loops,Microsoft,Loops.While,Active,Active,,,4090438,40e6dccd-3039-ec11-b6e5-00224805ed01
Label,a458b0ed-e2ce-ec11-a7b5-00224804cf74,true,,Flow control,FlowControl,Microsoft,FlowControl.Label,Active,Active,,,4090436,40e6dccd-3039-ec11-b6e5-00224805ed01
For each,a358b0ed-e2ce-ec11-a7b5-00224804cf74,true,,Loops,Loops,Microsoft,Loops.Foreach,Active,Active,,,4090435,40e6dccd-3039-ec11-b6e5-00224805ed01
Next loop,1cfa12ed-e2ce-ec11-a7b5-002248040e15,true,,Loops,Loops,Microsoft,Loops.Continue,Active,Active,,,4090434,40e6dccd-3039-ec11-b6e5-00224805ed01
Go to,1afa12ed-e2ce-ec11-a7b5-002248040e15,true,,Flow control,FlowControl,Microsoft,FlowControl.GoTo,Active,Active,,,4090433,40e6dccd-3039-ec11-b6e5-00224805ed01
Run subflow,19fa12ed-e2ce-ec11-a7b5-002248040e15,true,,Flow control,FlowControl,Microsoft,FlowControl.CallFunction,Active,Active,,,4090432,40e6dccd-3039-ec11-b6e5-00224805ed01
Exit loop,1bfa12ed-e2ce-ec11-a7b5-002248040e15,true,,Loops,Loops,Microsoft,Loops.Break,Active,Active,,,4090431,40e6dccd-3039-ec11-b6e5-00224805ed01
Remove XML element,18fa12ed-e2ce-ec11-a7b5-002248040e15,true,,XML,XML,Microsoft,XML.RemoveElement,Active,Active,,,4090428,40e6dccd-3039-ec11-b6e5-00224805ed01
If,17fa12ed-e2ce-ec11-a7b5-002248040e15,true,,Conditionals,Conditionals,Microsoft,Conditionals.If,Active,Active,,,4090427,40e6dccd-3039-ec11-b6e5-00224805ed01
Case,16fa12ed-e2ce-ec11-a7b5-002248040e15,true,,Conditionals,Conditionals,Microsoft,Conditionals.Case,Active,Active,,,4090426,40e6dccd-3039-ec11-b6e5-00224805ed01
Else,14fa12ed-e2ce-ec11-a7b5-002248040e15,true,,Conditionals,Conditionals,Microsoft,Conditionals.Else,Active,Active,,,4090425,40e6dccd-3039-ec11-b6e5-00224805ed01
Else if,15fa12ed-e2ce-ec11-a7b5-002248040e15,true,,Conditionals,Conditionals,Microsoft,Conditionals.ElseIf,Active,Active,,,4090424,40e6dccd-3039-ec11-b6e5-00224805ed01
Switch,13fa12ed-e2ce-ec11-a7b5-002248040e15,true,,Conditionals,Conditionals,Microsoft,Conditionals.Switch,Active,Active,,,4090423,40e6dccd-3039-ec11-b6e5-00224805ed01
Default case,12fa12ed-e2ce-ec11-a7b5-002248040e15,true,,Conditionals,Conditionals,Microsoft,Conditionals.CaseDefault,Active,Active,,,4090422,40e6dccd-3039-ec11-b6e5-00224805ed01
Loop,8a58b0ed-e2ce-ec11-a7b5-00224804cf74,true,,Loops,Loops,Microsoft,Loops.Loop,Active,Active,,,4090421,40e6dccd-3039-ec11-b6e5-00224805ed01
Get XML element value,0ffa12ed-e2ce-ec11-a7b5-002248040e15,true,,XML,XML,Microsoft,XML.GetXmlElementValue.GetElementValue,Active,Active,,,4090418,40e6dccd-3039-ec11-b6e5-00224805ed01
Get XML element value,7458b0ed-e2ce-ec11-a7b5-00224804cf74,true,,XML,XML,Microsoft,XML.GetXmlElementValue.GetElementValueAsBoolean,Active,Active,,,4090417,40e6dccd-3039-ec11-b6e5-00224805ed01
Get XML element value,7358b0ed-e2ce-ec11-a7b5-00224804cf74,true,,XML,XML,Microsoft,XML.GetXmlElementValue.GetElementValueAsNumeric,Active,Active,,,4090416,40e6dccd-3039-ec11-b6e5-00224805ed01
Set XML element value,7558b0ed-e2ce-ec11-a7b5-00224804cf74,true,,XML,XML,Microsoft,XML.SetElementValue,Active,Active,,,4090415,40e6dccd-3039-ec11-b6e5-00224805ed01
Remove XML element attribute,0dfa12ed-e2ce-ec11-a7b5-002248040e15,true,,XML,XML,Microsoft,XML.RemoveElementAttribute,Active,Active,,,4090414,40e6dccd-3039-ec11-b6e5-00224805ed01
Set XML element attribute,7258b0ed-e2ce-ec11-a7b5-00224804cf74,true,,XML,XML,Microsoft,XML.SetElementAttribute,Active,Active,,,4090413,40e6dccd-3039-ec11-b6e5-00224805ed01
Get XML element value,0cfa12ed-e2ce-ec11-a7b5-002248040e15,true,,XML,XML,Microsoft,XML.GetXmlElementValue.GetElementValueAsDateTime,Active,Active,,,4090412,40e6dccd-3039-ec11-b6e5-00224805ed01
Insert XML element,0efa12ed-e2ce-ec11-a7b5-002248040e15,true,,XML,XML,Microsoft,XML.InsertElement,Active,Active,,,4090411,40e6dccd-3039-ec11-b6e5-00224805ed01
Get XML element attribute,6c58b0ed-e2ce-ec11-a7b5-00224804cf74,true,,XML,XML,Microsoft,XML.GetXmlElementAttribute.GetElementAttributeAsNumeric,Active,Active,,,4090410,40e6dccd-3039-ec11-b6e5-00224805ed01
Execute XPath expression,6b58b0ed-e2ce-ec11-a7b5-00224804cf74,true,,XML,XML,Microsoft,XML.ExecuteXPathQuery.ExecuteXPath,Active,Active,,,4090409,40e6dccd-3039-ec11-b6e5-00224805ed01
Get XML element attribute,6758b0ed-e2ce-ec11-a7b5-00224804cf74,true,,XML,XML,Microsoft,XML.GetXmlElementAttribute.GetElementAttributeAsBoolean,Active,Active,,,4090406,40e6dccd-3039-ec11-b6e5-00224805ed01
Write XML to file,6658b0ed-e2ce-ec11-a7b5-00224804cf74,true,,XML,XML,Microsoft,XML.WriteXmlToFile.WriteToFileFormatted,Active,Active,,,4090405,40e6dccd-3039-ec11-b6e5-00224805ed01
